St.no;Year;Mnth;Date;Time(NMT);TA
25110;2006;1;20;13;-9.8
25110;2006;1;20;14;-9.6
25110;2006;1;20;15;-9.8
25110;2006;1;20;16;-9.9
25110;2006;1;20;17;-9.9
25110;2006;1;20;18;-10.2
25110;2006;1;20;19;-10.5
25110;2006;1;20;20;-10.8
25110;2006;1;20;21;-10.7
25110;2006;1;20;22;-10.6
25110;2006;1;20;23;-11.1
25110;2006;1;20;24;-12.0
25110;2006;1;21;1;-11.3
25110;2006;1;21;2;-12.2
25110;2006;1;21;3;-12.6
25110;2006;1;21;4;-13.0
25110;2006;1;21;5;-13.0
25110;2006;1;21;6;-13.1
25110;2006;1;21;7;-14.2
25110;2006;1;21;8;-14.7
25110;2006;1;21;9;-15.5
25110;2006;1;21;10;-17.4
25110;2006;1;21;11;-16.3
25110;2006;1;21;12;-15.1
25110;2006;1;21;13;-16.5
25110;2006;1;21;14;-16.7
25110;2006;1;21;15;-18.9
25110;2006;1;21;16;-20.6
25110;2006;1;21;17;-22.0
25110;2006;1;21;18;-21.8
25110;2006;1;21;19;-20.2
25110;2006;1;21;20;-20.3
25110;2006;1;21;21;-19.1
25110;2006;1;21;22;-19.8
25110;2006;1;21;23;-19.1
25110;2006;1;21;24;-16.9
25110;2006;1;22;1;-15.8
25110;2006;1;22;2;-15.1
25110;2006;1;22;3;-14.9
25110;2006;1;22;4;-15.6
25110;2006;1;22;5;-15.2
25110;2006;1;22;6;-14.8
25110;2006;1;22;7;-14.4
25110;2006;1;22;8;-14.0
25110;2006;1;22;9;-13.7
25110;2006;1;22;10;-14.2
25110;2006;1;22;11;-13.5
25110;2006;1;22;12;-13.0
25110;2006;1;22;13;-12.3
25110;2006;1;22;14;-11.8
25110;2006;1;22;15;-11.9
25110;2006;1;22;16;-12.1
25110;2006;1;22;17;-12.2
25110;2006;1;22;18;-12.0
25110;2006;1;22;19;-11.8
25110;2006;1;22;20;-11.9
25110;2006;1;22;21;-11.7
25110;2006;1;22;22;-12.0
25110;2006;1;22;23;-12.5
25110;2006;1;22;24;-14.5
25110;2006;1;23;1;-13.7
25110;2006;1;23;2;-12.3
25110;2006;1;23;3;-11.8
25110;2006;1;23;4;-11.5
25110;2006;1;23;5;-11.1
25110;2006;1;23;6;-11.0
25110;2006;1;23;7;-10.6
25110;2006;1;23;8;-10.2
25110;2006;1;23;9;-10.0
