Stnr;År;Mnd;Dag;Time(NMT);TW
76932;2011;1;21;17;7.0
76932;2011;1;21;18;7.0
76932;2011;1;21;19;7.0
76932;2011;1;21;20;7.0
76932;2011;1;21;21;7.0
76932;2011;1;21;22;7.0
76932;2011;1;21;23;7.0
76932;2011;1;21;24;7.0
76932;2011;1;22;1;7.0
76932;2011;1;22;2;7.0
76932;2011;1;22;3;7.0
76932;2011;1;22;4;7.0
76932;2011;1;22;5;7.0
76932;2011;1;22;6;7.0
76932;2011;1;22;7;7.1
76932;2011;1;22;8;7.0
76932;2011;1;22;9;7.1
76932;2011;1;22;10;7.0
76932;2011;1;22;11;7.1
76932;2011;1;22;12;7.1
76932;2011;1;22;13;7.1
76932;2011;1;22;14;7.1
76932;2011;1;22;15;7.1
76932;2011;1;22;16;7.1
76932;2011;1;22;17;7.1
76932;2011;1;22;18;7.1
76932;2011;1;22;19;7.1
76932;2011;1;22;20;7.1
76932;2011;1;22;21;7.1
76932;2011;1;22;22;7.1
76932;2011;1;22;23;7.1
76932;2011;1;22;24;7.1
76932;2011;1;23;1;7.1
76932;2011;1;23;2;7.1
76932;2011;1;23;3;7.1
76932;2011;1;23;4;7.1
76932;2011;1;23;5;7.1
76932;2011;1;23;6;7.1
76932;2011;1;23;7;7.1
76932;2011;1;23;8;7.1
76932;2011;1;23;9;7.2
76932;2011;1;23;10;7.1
76932;2011;1;23;11;7.1
76932;2011;1;23;12;7.1
76932;2011;1;23;13;7.1
76932;2011;1;23;14;7.1
76932;2011;1;23;15;7.1
76932;2011;1;23;16;7.1
76932;2011;1;23;17;7.2
76932;2011;1;23;18;7.2
76932;2011;1;23;19;7.2
76932;2011;1;23;20;7.2
76932;2011;1;23;21;7.2
76932;2011;1;23;22;7.2
76932;2011;1;23;23;7.2
76932;2011;1;23;24;7.2
76932;2011;1;24;1;7.2
76932;2011;1;24;2;7.2
76932;2011;1;24;3;7.2
76932;2011;1;24;4;7.2
76932;2011;1;24;5;7.2
76932;2011;1;24;6;7.2
76932;2011;1;24;7;7.2
76932;2011;1;24;8;7.2
76932;2011;1;24;9;7.2
76932;2011;1;24;10;7.2
76932;2011;1;24;11;7.2
76932;2011;1;24;12;7.2
76932;2011;1;24;13;7.2
76932;2011;1;24;14;7.2
76932;2011;1;24;15;7.2
76932;2011;1;24;16;7.2
76932;2011;1;24;17;7.2
76932;2011;1;24;18;7.2
76932;2011;1;24;19;7.2
76932;2011;1;24;20;7.2
76932;2011;1;24;21;7.2
76932;2011;1;24;22;7.2
76932;2011;1;24;23;7.2
76932;2011;1;24;24;7.2
76932;2011;1;25;1;7.2
76932;2011;1;25;2;7.2
76932;2011;1;25;3;7.2
76932;2011;1;25;4;7.1
76932;2011;1;25;5;7.1
76932;2011;1;25;6;7.1
76932;2011;1;25;7;7.1
76932;2011;1;25;8;7.1
76932;2011;1;25;9;7.1
76932;2011;1;25;10;7.1
76932;2011;1;25;11;7.1
76932;2011;1;25;12;7.0
76932;2011;1;25;13;7.1
76932;2011;1;25;14;7.1
76932;2011;1;25;15;7.1
76932;2011;1;25;16;7.0
76932;2011;1;25;17;7.0
76932;2011;1;25;18;7.1
76932;2011;1;25;19;7.0
76932;2011;1;25;20;7.0
76932;2011;1;25;21;7.0
76932;2011;1;25;22;7.0
76932;2011;1;25;23;7.0
76932;2011;1;25;24;7.0
76932;2011;1;26;1;7.0
76932;2011;1;26;2;7.0
