St.no;Year;Mnth;Date;Time(NMT);TA
68860;2009;1;30;22;-4.6
68860;2009;1;30;23;-5.2
68860;2009;1;30;24;-5.0
68860;2009;1;31;1;-5.2
68860;2009;1;31;2;-6.2
68860;2009;1;31;3;-6.7
68860;2009;1;31;4;-6.2
68860;2009;1;31;5;-6.8
68860;2009;1;31;6;-6.5
68860;2009;1;31;7;-6.5
68860;2009;1;31;8;-7.4
68860;2009;1;31;9;-7.3
68860;2009;1;31;10;-8.2
68860;2009;1;31;11;-7.1
68860;2009;1;31;12;-4.1
68860;2009;1;31;13;-4.2
68860;2009;1;31;14;-3.2
68860;2009;1;31;15;-4.6
68860;2009;1;31;16;-5.9
68860;2009;1;31;17;-6.6
68860;2009;1;31;18;-6.9
68860;2009;1;31;19;-5.9
68860;2009;1;31;20;-6.3
68860;2009;1;31;21;-7.0
68860;2009;1;31;22;-6.5
68860;2009;1;31;23;-7.1
68860;2009;1;31;24;-5.7
