St.no;Year;Mnth;Date;Time(NMT);TA
68860;2012;2;17;24;1.7
68860;2012;2;18;1;2.4
68860;2012;2;18;2;2.6
68860;2012;2;18;3;2.7
68860;2012;2;18;4;2.8
68860;2012;2;18;5;3.3
68860;2012;2;18;6;3.9
68860;2012;2;18;7;3.8
68860;2012;2;18;8;3.4
68860;2012;2;18;9;3.4
68860;2012;2;18;10;3.8
68860;2012;2;18;11;4.1
68860;2012;2;18;12;4.7
68860;2012;2;18;13;5.2
68860;2012;2;18;14;4.9
68860;2012;2;18;15;5.2
68860;2012;2;18;16;4.3
68860;2012;2;18;17;2.3
68860;2012;2;18;18;1.6
68860;2012;2;18;19;1.6
68860;2012;2;18;20;1.9
68860;2012;2;18;21;1.5
68860;2012;2;18;22;1.3
68860;2012;2;18;23;1.1
68860;2012;2;18;24;1.0
68860;2012;2;19;1;0.4
68860;2012;2;19;2;0.6
68860;2012;2;19;3;0.4
68860;2012;2;19;4;0.4
68860;2012;2;19;5;0.5
68860;2012;2;19;6;0.7
68860;2012;2;19;7;0.6
68860;2012;2;19;8;-0.4
68860;2012;2;19;9;-0.9
68860;2012;2;19;10;-1.1
68860;2012;2;19;11;-1.4
68860;2012;2;19;12;-1.0
68860;2012;2;19;13;-1.7
68860;2012;2;19;14;-1.6
68860;2012;2;19;15;-2.1
68860;2012;2;19;16;-2.3
68860;2012;2;19;17;-2.0
68860;2012;2;19;18;-3.4
68860;2012;2;19;19;-3.5
68860;2012;2;19;20;-3.7
68860;2012;2;19;21;-3.4
68860;2012;2;19;22;-3.7
68860;2012;2;19;23;-2.9
68860;2012;2;19;24;-2.5
68860;2012;2;20;1;-2.5
68860;2012;2;20;2;-2.4
68860;2012;2;20;3;-2.0
68860;2012;2;20;4;-1.0
68860;2012;2;20;5;-1.7
68860;2012;2;20;6;-1.6
68860;2012;2;20;7;-1.1
68860;2012;2;20;8;-0.6
68860;2012;2;20;9;0.2
68860;2012;2;20;10;-0.5
68860;2012;2;20;11;0.6
68860;2012;2;20;12;1.1
68860;2012;2;20;13;2.0
68860;2012;2;20;14;2.3
68860;2012;2;20;15;1.9
68860;2012;2;20;16;2.2
68860;2012;2;20;17;3.6
68860;2012;2;20;18;4.0
68860;2012;2;20;19;4.1
68860;2012;2;20;20;4.1
68860;2012;2;20;21;4.1
68860;2012;2;20;22;2.9
68860;2012;2;20;23;2.7
68860;2012;2;20;24;2.4
68860;2012;2;21;1;3.3
68860;2012;2;21;2;3.0
68860;2012;2;21;3;2.3
68860;2012;2;21;4;1.5
68860;2012;2;21;5;0.8
68860;2012;2;21;6;1.1
68860;2012;2;21;7;1.3
68860;2012;2;21;8;0.6
68860;2012;2;21;9;-0.5
68860;2012;2;21;10;0.5
68860;2012;2;21;11;-0.3
68860;2012;2;21;12;-0.1
68860;2012;2;21;13;-0.3
68860;2012;2;21;14;0.6
68860;2012;2;21;15;0.7
68860;2012;2;21;16;0.8
68860;2012;2;21;17;0.7
68860;2012;2;21;18;0.7
68860;2012;2;21;19;0.4
68860;2012;2;21;20;0.6
68860;2012;2;21;21;0.7
68860;2012;2;21;22;0.2
68860;2012;2;21;23;-0.2
68860;2012;2;21;24;-1.0
68860;2012;2;22;1;-2.2
68860;2012;2;22;2;-2.1
68860;2012;2;22;3;-0.3
68860;2012;2;22;4;-1.2
68860;2012;2;22;5;-0.8
68860;2012;2;22;6;-0.8
68860;2012;2;22;7;-0.4
68860;2012;2;22;8;-0.9
68860;2012;2;22;9;-0.6
68860;2012;2;22;10;2.1
68860;2012;2;22;11;3.9
68860;2012;2;22;12;4.7
68860;2012;2;22;13;6.0
68860;2012;2;22;14;6.9
68860;2012;2;22;15;6.9
68860;2012;2;22;16;6.4
68860;2012;2;22;17;6.0
68860;2012;2;22;18;5.8
68860;2012;2;22;19;5.0
68860;2012;2;22;20;3.9
68860;2012;2;22;21;3.6
68860;2012;2;22;22;3.3
68860;2012;2;22;23;2.8
68860;2012;2;22;24;3.0
68860;2012;2;23;1;2.8
68860;2012;2;23;2;2.8
68860;2012;2;23;3;2.8
68860;2012;2;23;4;3.6
68860;2012;2;23;5;3.5
68860;2012;2;23;6;3.5
68860;2012;2;23;7;3.8
68860;2012;2;23;8;3.7
68860;2012;2;23;9;3.8
68860;2012;2;23;10;3.6
68860;2012;2;23;11;3.5
68860;2012;2;23;12;3.4
68860;2012;2;23;13;3.1
68860;2012;2;23;14;3.4
68860;2012;2;23;15;3.7
68860;2012;2;23;16;3.0
68860;2012;2;23;17;2.0
68860;2012;2;23;18;2.1
68860;2012;2;23;19;1.8
68860;2012;2;23;20;1.7
68860;2012;2;23;21;1.1
68860;2012;2;23;22;1.0
68860;2012;2;23;23;1.0
68860;2012;2;23;24;1.1
68860;2012;2;24;1;1.1
68860;2012;2;24;2;0.5
68860;2012;2;24;3;0.5
68860;2012;2;24;4;1.5
68860;2012;2;24;5;2.7
68860;2012;2;24;6;4.2
68860;2012;2;24;7;4.0
68860;2012;2;24;8;3.3
68860;2012;2;24;9;2.7
68860;2012;2;24;10;2.9
68860;2012;2;24;11;3.0
68860;2012;2;24;12;3.7
68860;2012;2;24;13;4.3
68860;2012;2;24;14;5.5
68860;2012;2;24;15;5.2
68860;2012;2;24;16;5.1
68860;2012;2;24;17;3.9
68860;2012;2;24;18;3.2
68860;2012;2;24;19;2.0
68860;2012;2;24;20;1.5
68860;2012;2;24;21;2.7
68860;2012;2;24;22;2.9
68860;2012;2;24;23;2.9
68860;2012;2;24;24;1.8
68860;2012;2;25;1;1.9
68860;2012;2;25;2;1.7
68860;2012;2;25;3;1.6
68860;2012;2;25;4;1.2
68860;2012;2;25;5;0.7
68860;2012;2;25;6;0.4
68860;2012;2;25;7;0.3
68860;2012;2;25;8;-0.4
68860;2012;2;25;9;0.1
68860;2012;2;25;10;0.4
68860;2012;2;25;11;0.3
68860;2012;2;25;12;1.0
68860;2012;2;25;13;2.0
68860;2012;2;25;14;2.0
68860;2012;2;25;15;2.0
68860;2012;2;25;16;1.6
68860;2012;2;25;17;-0.8
68860;2012;2;25;18;0.1
68860;2012;2;25;19;0.1
68860;2012;2;25;20;-0.7
68860;2012;2;25;21;-0.6
68860;2012;2;25;22;-0.9
68860;2012;2;25;23;-1.0
68860;2012;2;25;24;-1.2
68860;2012;2;26;1;-1.3
68860;2012;2;26;2;-1.3
68860;2012;2;26;3;-1.2
68860;2012;2;26;4;-1.4
68860;2012;2;26;5;-1.4
68860;2012;2;26;6;-1.3
68860;2012;2;26;7;-1.2
68860;2012;2;26;8;-1.4
68860;2012;2;26;9;-1.3
68860;2012;2;26;10;-0.6
68860;2012;2;26;11;-0.3
68860;2012;2;26;12;0.2
68860;2012;2;26;13;0.7
68860;2012;2;26;14;0.8
68860;2012;2;26;15;1.1
68860;2012;2;26;16;1.2
68860;2012;2;26;17;1.1
68860;2012;2;26;18;1.1
68860;2012;2;26;19;0.8
68860;2012;2;26;20;0.7
68860;2012;2;26;21;0.4
68860;2012;2;26;22;0.3
68860;2012;2;26;23;0.8
68860;2012;2;26;24;0.4
68860;2012;2;27;1;-1.0
68860;2012;2;27;2;0.7
68860;2012;2;27;3;0.2
68860;2012;2;27;4;0.8
68860;2012;2;27;5;0.9
68860;2012;2;27;6;2.4
68860;2012;2;27;7;1.7
68860;2012;2;27;8;1.0
68860;2012;2;27;9;1.8
68860;2012;2;27;10;2.5
68860;2012;2;27;11;2.9
68860;2012;2;27;12;4.3
68860;2012;2;27;13;4.6
68860;2012;2;27;14;4.7
68860;2012;2;27;15;4.4
68860;2012;2;27;16;4.5
68860;2012;2;27;17;4.7
68860;2012;2;27;18;4.4
68860;2012;2;27;19;4.4
68860;2012;2;27;20;3.5
68860;2012;2;27;21;3.4
68860;2012;2;27;22;3.4
68860;2012;2;27;23;3.2
68860;2012;2;27;24;4.1
68860;2012;2;28;1;4.0
68860;2012;2;28;2;3.8
68860;2012;2;28;3;3.4
68860;2012;2;28;4;4.2
68860;2012;2;28;5;4.7
68860;2012;2;28;6;5.8
68860;2012;2;28;7;5.1
68860;2012;2;28;8;4.1
68860;2012;2;28;9;5.1
68860;2012;2;28;10;3.4
68860;2012;2;28;11;3.6
